apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
124-31-020,"2083 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,5602,1939,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.427491,-122.148379
124-31-020,"2071 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,5602,1939,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.427491,-122.148379
124-31-020,"2073 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,5602,1939,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.427491,-122.148379
124-31-020,"2077 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,5602,1939,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.427491,-122.148379
124-31-020,"2075 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,5602,1939,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.427491,-122.148379
124-31-021,"2051 El Camino Real, Palo Alto",calave,1/2mi,PC-4753,,Cannot assess for this zone.,65,4935,2012,none,37.427582,-122.14851
124-31-022,"2045 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,2844,1955,none,37.42768,-122.148586
124-31-023,"2033 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,2677,1950,none,37.427725,-122.148651
124-31-023,"2029 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,2677,1950,none,37.427725,-122.148651
124-31-024,"2011 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,8602,1930,none,37.427879,-122.148678
124-31-025,"2001 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,7937,1947,none,37.42797,-122.148809
124-31-026,"437 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"445 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"451 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"435 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"439 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"433 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"453 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"449 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"447 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-026,"431 Stanford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,15003,1951,none,37.428192,-122.148422
124-31-027,"425 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7501,1924,none,37.428364,-122.14828
124-31-028,"411 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,5000,1906,none,37.428516,-122.148257
124-31-029,"2040 Ash St, Palo Alto",calave,1/2mi,R-1,17,May be 17' due to substandard size or flag configuration.,65,4000,1906,none,37.42838,-122.147998
124-31-030,"393 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7499,1986,none,37.428731,-122.147977
124-31-031,"381 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1947,none,37.428846,-122.147882
124-31-032,"363 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1928,none,37.42896,-122.147788
124-31-033,"359 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7501,1937,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.429075,-122.147693
124-31-034,"351 Stanford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7499,1948,none,37.42919,-122.147599
